alpha_deg,alpha2,CD
-4.000000000000000000e+00,1.600000000000000000e+01,2.401200074341015150e-02
-2.000000000000000000e+00,4.000000000000000000e+00,1.363196100576982532e-02
0.000000000000000000e+00,0.000000000000000000e+00,8.425917796656140143e-03
2.000000000000000000e+00,4.000000000000000000e+00,1.927195463220288812e-02
4.000000000000000000e+00,1.600000000000000000e+01,2.147764782469985603e-02
6.000000000000000000e+00,3.600000000000000000e+01,2.609663491768126134e-02
8.000000000000000000e+00,6.400000000000000000e+01,3.848403607075882860e-02
1.000000000000000000e+01,1.000000000000000000e+02,5.461369784400550015e-02
