alpha_deg,alpha2,CD
-4.000000000000000000e+00,1.600000000000000000e+01,2.388206270823683280e-02
-2.000000000000000000e+00,4.000000000000000000e+00,1.354899939401443994e-02
0.000000000000000000e+00,0.000000000000000000e+00,8.395134648178424405e-03
2.000000000000000000e+00,4.000000000000000000e+00,1.920607500278418561e-02
4.000000000000000000e+00,1.600000000000000000e+01,2.138995060066437720e-02
6.000000000000000000e+00,3.600000000000000000e+01,2.601607636000789064e-02
8.000000000000000000e+00,6.400000000000000000e+01,3.830310439055611277e-02
1.000000000000000000e+01,1.000000000000000000e+02,5.446138726534287267e-02
