alpha,mean_cl,min_cl,max_cl,mean_cd,min_cd,max_cd,mean_combined,min_combined,max_combined
-4.000000000000000000e+00,-2.657107889252532940e-01,-2.655836937831680400e-01,-2.664012993351005942e-01,2.394961055355895180e-02,2.401200074341015150e-02,2.388206270823683280e-02,-2.417611783716943352e-01,-2.415716930397578954e-01,-2.425192366268637545e-01
-2.000000000000000000e+00,5.744299965473603428e-03,5.881661006829471718e-03,4.966869570096227662e-03,1.359225964342358935e-02,1.363196100576982532e-02,1.354899939401443994e-02,1.933655960889719277e-02,1.951362201259929791e-02,1.851586896411066760e-02
0.000000000000000000e+00,3.486311785153596299e-01,3.504026136059644192e-01,3.465718307125571496e-01,8.409465913969717266e-03,8.425917796656140143e-03,8.395134648178424405e-03,3.570406444293293680e-01,3.588285314026205541e-01,3.549669653607355757e-01
2.000000000000000000e+00,4.784303413667339022e-01,4.784932612419023346e-01,4.785183511488088626e-01,1.924713543973145119e-02,1.927195463220288812e-02,1.920607500278418561e-02,4.976774768064653465e-01,4.977652158741052157e-01,4.977244261515930690e-01
4.000000000000000000e+00,6.991224691773411104e-01,6.997697972889906914e-01,6.987608903314315167e-01,2.142761527769102003e-02,2.147764782469985603e-02,2.138995060066437720e-02,7.205500844550321027e-01,7.212474451136905440e-01,7.201508409320959148e-01
6.000000000000000000e+00,8.421953498541259187e-01,8.428869814904840219e-01,8.418769803136230134e-01,2.605600861736536225e-02,2.609663491768126134e-02,2.601607636000789064e-02,8.682513584714912636e-01,8.689836164081652381e-01,8.678930566736309249e-01
8.000000000000000000e+00,9.599687999740015298e-01,9.604739854313719682e-01,9.599137909740538266e-01,3.839287561177552599e-02,3.848403607075882860e-02,3.830310439055611277e-02,9.983616755857770420e-01,9.989580215021307552e-01,9.982168953646098908e-01
1.000000000000000000e+01,1.002804062438345412e+00,1.003030903446340716e+00,1.002841068084634468e+00,5.455251472770419191e-02,5.461369784400550015e-02,5.446138726534287267e-02,1.057356577166049583e+00,1.057644601290346209e+00,1.057302455349977244e+00
