alpha,Cl,Cd
-4.000000000000000000e+00,-2.657107889252532940e-01,2.394961055355895180e-02
-2.000000000000000000e+00,5.744299965473603428e-03,1.359225964342358935e-02
0.000000000000000000e+00,3.486311785153596299e-01,8.409465913969717266e-03
2.000000000000000000e+00,4.784303413667339022e-01,1.924713543973145119e-02
4.000000000000000000e+00,6.991224691773411104e-01,2.142761527769102003e-02
6.000000000000000000e+00,8.421953498541259187e-01,2.605600861736536225e-02
8.000000000000000000e+00,9.599687999740015298e-01,3.839287561177552599e-02
1.000000000000000000e+01,1.002804062438345412e+00,5.455251472770419191e-02
